protocol_id,run_id,engine,method,dataset,pred_len,seed,epochs_ran,mse,mae,physical_gpu,dataset_sha256,log_file
kdd_resubmit_h96_coverage_v1,coverage_h96_electricity_itransformer_ori_s2021,native,iTransformer+ORI,Electricity,96,2021,14,0.1482391506433487,0.23984581232070923,0,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_electricity_itransformer_ori_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_electricity_itransformer_ori_s2022,native,iTransformer+ORI,Electricity,96,2022,12,0.14811913669109344,0.23958411812782288,2,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_electricity_itransformer_ori_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_electricity_itransformer_ori_s2023,native,iTransformer+ORI,Electricity,96,2023,13,0.14825966954231262,0.24002298712730408,4,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_electricity_itransformer_ori_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_electricity_itransformer_tifo_s2021,native,iTransformer+TIFO[historical],Electricity,96,2021,12,0.1429743468761444,0.23667599260807037,1,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_electricity_itransformer_tifo_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_electricity_itransformer_tifo_s2022,native,iTransformer+TIFO[historical],Electricity,96,2022,11,0.14387734234333038,0.23753705620765686,3,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_electricity_itransformer_tifo_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_electricity_itransformer_tifo_s2023,native,iTransformer+TIFO[historical],Electricity,96,2023,12,0.14316192269325256,0.23665225505828857,5,7e45845d54c5219bad0ae6bc1b5316cf8ff9cead5d33fa998a5a51c2e4a497ad,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_electricity_itransformer_tifo_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth1_itransformer_ori_s2021,native,iTransformer+ORI,ETTh1,96,2021,16,0.39450207352638245,0.4093706011772156,0,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth1_itransformer_ori_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth1_itransformer_ori_s2022,native,iTransformer+ORI,ETTh1,96,2022,13,0.3923601508140564,0.4079298973083496,2,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth1_itransformer_ori_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth1_itransformer_ori_s2023,native,iTransformer+ORI,ETTh1,96,2023,16,0.3928661644458771,0.4084910452365875,4,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth1_itransformer_ori_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth1_itransformer_tifo_s2021,native,iTransformer+TIFO[historical],ETTh1,96,2021,16,0.3919161856174469,0.40865883231163025,1,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth1_itransformer_tifo_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth1_itransformer_tifo_s2022,native,iTransformer+TIFO[historical],ETTh1,96,2022,13,0.3892619013786316,0.4064852297306061,3,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth1_itransformer_tifo_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth1_itransformer_tifo_s2023,native,iTransformer+TIFO[historical],ETTh1,96,2023,16,0.39058512449264526,0.4078565537929535,5,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth1_itransformer_tifo_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth2_itransformer_ori_s2021,native,iTransformer+ORI,ETTh2,96,2021,9,0.30010563135147095,0.3495956361293793,6,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth2_itransformer_ori_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth2_itransformer_ori_s2022,native,iTransformer+ORI,ETTh2,96,2022,12,0.29954278469085693,0.3502598702907562,0,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth2_itransformer_ori_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth2_itransformer_ori_s2023,native,iTransformer+ORI,ETTh2,96,2023,16,0.29995429515838623,0.3489549160003662,2,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth2_itransformer_ori_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth2_itransformer_tifo_s2021,native,iTransformer+TIFO[historical],ETTh2,96,2021,9,0.3001870810985565,0.34919798374176025,7,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth2_itransformer_tifo_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth2_itransformer_tifo_s2022,native,iTransformer+TIFO[historical],ETTh2,96,2022,7,0.3014994263648987,0.3488823175430298,1,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth2_itransformer_tifo_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_etth2_itransformer_tifo_s2023,native,iTransformer+TIFO[historical],ETTh2,96,2023,24,0.30370384454727173,0.35055217146873474,3,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_etth2_itransformer_tifo_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_ettm1_itransformer_ori_s2021,native,iTransformer+ORI,ETTm1,96,2021,13,0.341200053691864,0.37652817368507385,4,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_ettm1_itransformer_ori_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_ettm1_itransformer_ori_s2022,native,iTransformer+ORI,ETTm1,96,2022,12,0.3410351276397705,0.3759499788284302,6,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_ettm1_itransformer_ori_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_ettm1_itransformer_ori_s2023,native,iTransformer+ORI,ETTm1,96,2023,12,0.342074453830719,0.3768453299999237,0,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_ettm1_itransformer_ori_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_ettm1_itransformer_tifo_s2021,native,iTransformer+TIFO[historical],ETTm1,96,2021,13,0.34237170219421387,0.3760717809200287,5,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_ettm1_itransformer_tifo_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_ettm1_itransformer_tifo_s2022,native,iTransformer+TIFO[historical],ETTm1,96,2022,8,0.3402634263038635,0.3753315508365631,7,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_ettm1_itransformer_tifo_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_ettm1_itransformer_tifo_s2023,native,iTransformer+TIFO[historical],ETTm1,96,2023,8,0.34348079562187195,0.37674766778945923,1,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_ettm1_itransformer_tifo_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_traffic_itransformer_ori_s2021,native,iTransformer+ORI,Traffic,96,2021,19,0.39224663376808167,0.26852351427078247,6,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_traffic_itransformer_ori_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_traffic_itransformer_ori_s2022,native,iTransformer+ORI,Traffic,96,2022,20,0.39244914054870605,0.26836860179901123,0,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_traffic_itransformer_ori_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_traffic_itransformer_ori_s2023,native,iTransformer+ORI,Traffic,96,2023,22,0.3932686746120453,0.2683492600917816,2,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_traffic_itransformer_ori_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_traffic_itransformer_tifo_s2021,native,iTransformer+TIFO[historical],Traffic,96,2021,6,0.4951535761356354,0.35091733932495117,7,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_traffic_itransformer_tifo_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_traffic_itransformer_tifo_s2022,native,iTransformer+TIFO[historical],Traffic,96,2022,6,0.48966726660728455,0.3464783728122711,1,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_traffic_itransformer_tifo_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_traffic_itransformer_tifo_s2023,native,iTransformer+TIFO[historical],Traffic,96,2023,6,0.4954123795032501,0.35236766934394836,3,cb06463d56fa17d87f47027cd9389ceae82a69eddee51cdb61480e120dab0b16,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_traffic_itransformer_tifo_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_weather_itransformer_ori_s2021,native,iTransformer+ORI,Weather,96,2021,9,0.17481406033039093,0.21381644904613495,4,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_weather_itransformer_ori_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_weather_itransformer_ori_s2022,native,iTransformer+ORI,Weather,96,2022,10,0.17357029020786285,0.21332891285419464,6,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_weather_itransformer_ori_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_weather_itransformer_ori_s2023,native,iTransformer+ORI,Weather,96,2023,8,0.1757848858833313,0.21568644046783447,0,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_weather_itransformer_ori_s2023/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_weather_itransformer_tifo_s2021,native,iTransformer+TIFO[historical],Weather,96,2021,9,0.16877217590808868,0.21246322989463806,5,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_weather_itransformer_tifo_s2021/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_weather_itransformer_tifo_s2022,native,iTransformer+TIFO[historical],Weather,96,2022,8,0.16975510120391846,0.2133602797985077,7,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_weather_itransformer_tifo_s2022/run.log
kdd_resubmit_h96_coverage_v1,coverage_h96_weather_itransformer_tifo_s2023,native,iTransformer+TIFO[historical],Weather,96,2023,9,0.16723722219467163,0.21092002093791962,1,34ee981d07313e51da2a50bb600072c8ae4a69cb4b0651f4cb93a069d7a2ba63,/mnt/data1/park/TS/FredNormer/experiment_records/coverage_h96_weather_itransformer_tifo_s2023/run.log
kdd_resubmit_tifo_historical_v2,gate2_ettm2_h96_itransformer_tifo_historical_s2021,native,iTransformer+TIFO[historical],ETTm2,96,2021,8,0.1806105226278305,0.26496759057044983,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_historical_s2021/run.log
kdd_resubmit_tifo_historical_v2,gate2_ettm2_h96_itransformer_tifo_historical_s2022,native,iTransformer+TIFO[historical],ETTm2,96,2022,7,0.18202970921993256,0.2668640613555908,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_historical_s2022/run.log
kdd_resubmit_tifo_historical_v2,gate2_ettm2_h96_itransformer_tifo_historical_s2023,native,iTransformer+TIFO[historical],ETTm2,96,2023,8,0.18094402551651,0.2653467059135437,2,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_historical_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_ori_s2021,native,iTransformer+ORI,ETTm2,96,2021,7,0.18428361415863037,0.26810604333877563,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_ori_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_ori_s2022,native,iTransformer+ORI,ETTm2,96,2022,7,0.1840965747833252,0.26847660541534424,4,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_ori_s2022/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_ori_s2023,native,iTransformer+ORI,ETTm2,96,2023,6,0.18561621010303497,0.2723395824432373,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_ori_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_tifo_s2021,native,iTransformer+TIFO[identity_unregularized],ETTm2,96,2021,6,0.1881624013185501,0.273384153842926,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_tifo_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_tifo_s2022,native,iTransformer+TIFO[identity_unregularized],ETTm2,96,2022,6,0.18794293701648712,0.2738865911960602,5,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_tifo_s2022/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_tifo_s2023,native,iTransformer+TIFO[identity_unregularized],ETTm2,96,2023,6,0.18501140177249908,0.27085623145103455,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_tifo_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_tfps_s2021,tfps,TFPS,ETTm2,96,2021,22,0.1715032160282135,0.2554316520690918,3,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_tfps_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_tfps_s2022,tfps,TFPS,ETTm2,96,2022,23,0.17378689348697662,0.25598007440567017,7,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_tfps_s2022/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_tfps_s2023,tfps,TFPS,ETTm2,96,2023,22,0.17316436767578125,0.2555815577507019,3,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_tfps_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_timeemb_s2021,timeemb,TimeEmb,ETTm2,96,2021,12,0.16421321034431458,0.24300046265125275,2,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_timeemb_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_timeemb_s2022,timeemb,TimeEmb,ETTm2,96,2022,11,0.16451793909072876,0.2435327172279358,6,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_timeemb_s2022/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_timeemb_s2023,timeemb,TimeEmb,ETTm2,96,2023,17,0.16482220590114594,0.24338865280151367,2,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_timeemb_s2023/run.log
