run_id,engine,dataset,seed,validation_mse,model_args,log_file
tune_electricity_h96_tifo_ew_hermitian_aligned_zpad100_s2022,native,Electricity,2022,0.1217066,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""hermitian_aligned"", ""tifo_zero_pad_ratio"": 1.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_hermitian_aligned_zpad100_s2022/run.log
tune_electricity_h96_tifo_ew_zpad100_s2022,native,Electricity,2022,0.121825,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 1.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_zpad100_s2022/run.log
tune_electricity_h96_tifo_ew_compact_zpad100_s2022,native,Electricity,2022,0.1218852,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 256, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.3, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 1.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_compact_zpad100_s2022/run.log
tune_electricity_h96_tifo_ew_historical_control_s2022,native,Electricity,2022,0.1231158,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 0.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_historical_control_s2022/run.log
tune_electricity_h96_tifo_ew_lr0p25_alpha0p5_zpad100_s2022,native,Electricity,2022,0.1232935,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 0.25, ""tifo_residual_alpha"": 0.5, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 1.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_lr0p25_alpha0p5_zpad100_s2022/run.log
tune_electricity_h96_tifo_ew_alpha0p5_s2022,native,Electricity,2022,0.1235248,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 0.5, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 0.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_alpha0p5_s2022/run.log
tune_electricity_h96_tifo_ew_lr0p25_alpha0p5_s2022,native,Electricity,2022,0.1236427,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 0.25, ""tifo_residual_alpha"": 0.5, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 0.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_lr0p25_alpha0p5_s2022/run.log
tune_electricity_h96_tifo_ew_lr0p25_s2022,native,Electricity,2022,0.1237275,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 0.25, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 0.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_electricity_h96_tifo_ew_lr0p25_s2022/run.log
tune_weather_h96_tifo_ew_hermitian_aligned_zpad100_s2022,native,Weather,2022,0.397548,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 512, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.5, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""hermitian_aligned"", ""tifo_zero_pad_ratio"": 1.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_weather_h96_tifo_ew_hermitian_aligned_zpad100_s2022/run.log
tune_weather_h96_tifo_ew_compact_zpad100_s2022,native,Weather,2022,0.4013063,"{""d_ff"": 512, ""d_model"": 512, ""e_layers"": 3, ""factor"": 3, ""filter_dim"": 256, ""n_heads"": 8, ""skip_final_test"": true, ""tifo_dropout"": 0.3, ""tifo_lr_scale"": 1.0, ""tifo_residual_alpha"": 1.0, ""tifo_variant"": ""historical"", ""tifo_zero_pad_ratio"": 1.0}",/mnt/data1/park/TS/FredNormer/experiment_records/tune_weather_h96_tifo_ew_compact_zpad100_s2022/run.log
